word,type,cefr,definition,example,Synonyms,Antonyms,Rhymes,Related
near,adjective,a1,a short distance away,His house is very near.,"nearby, nigh, about, well-nigh, almost",far,"clear, tear, gear, peer, sheer","confluence, border, mouth, intersection, flows"
near,adverb,a1,at a short distance away,A bomb exploded somewhere near.,"nearby, nigh, about, well-nigh, almost",far,"clear, tear, gear, peer, sheer","confluence, border, mouth, intersection, flows"
near,preposition,a1,at a short distance away from somebody/something,Do you live near here?,"nearby, nigh, about, well-nigh, almost",far,"clear, tear, gear, peer, sheer","confluence, border, mouth, intersection, flows"
nearly,adverb,a2,almost; not quite; not completely,The bottle's nearly empty.,"almost, well-nigh, virtually, just about, all but",,"merely, sincerely, clearly, severely, dearly","identical, doubled, impossible, decade, decades"
neat,adjective,b2,tidy and in order; carefully done or arranged,She kept her desk extremely neat.,"tidy, nifty, elegant, tasteful, slap-up",,"beat, browbeat, discrete, meet, eat","tidy, chipset, orderly, ethanol, handwriting"
necessarily,adverb,b1,used to say that something cannot be avoided,The number of places available is necessarily limited.,"needfully, needs, inevitably, of necessity, necessary",unnecessarily,"temporarily, primarily, summarily, arbitrarily, neroli","imply, correspond, mean, involve, finite"
necessary,adjective,a2,that is needed for a purpose or a reason,"necessary to do something, It may be necessary to buy a new one.","requisite, necessity, requirement, needful, needed","unnecessary, unneeded, nonessential, inessential","dictionary, cherry, arbitrary, contemporary, ancillary","sufficient, ensure, survival, condition, maintain"
neck,noun,a2,the part of the body between the head and the shoulders,He tied a scarf around his neck.,"cervix, make out, elbow, cervical, mouth",,"check, deck, tech, trek, wreck","fingerboard, frets, vertebrae, vertebra, rosewood"
need,noun,a2,a situation when something is necessary or must be done,to satisfy/meet/fulfil a need,"necessitate, must, have got, have, ought","obviate, eliminate, rid of","read, lead, breed, feed, bleed","know, repair, understand"
need,verb,a1,"to require something/somebody because they are essential or very important, not just because you would like to have them","need something/somebody, Do you need any help?","necessitate, must, have got, have, ought","obviate, eliminate, rid of","read, lead, breed, feed, bleed","know, repair, understand"
need,modal verb,b1,used to state that something is/was not necessary or that only very little is/was necessary; used to ask if something is/was necessary,"need (not) do something, You needn't bother asking Rick—I know he's too busy.","necessitate, must, have got, have, ought","obviate, eliminate, rid of","read, lead, breed, feed, bleed","know, repair, understand"
needle,noun,b1,"a small thin piece of steel that you use for sewing, with a point at one end and a hole for the thread at the other",a needle and thread,"goad, nettle, acerate leaf, phonograph needle, needlework",,"wheedle, beadle, treadle, daedal, tweedle","syringe, haystack, cannula, epidural, needles"
negative,adjective,a1,bad or harmful,The crisis had a negative effect on trade.,"non, bad, dissentient, disadvantageous, dissident","positive, neutral, affirmative, confirming, electropositive","legate of, leggett of","connotation, connotations, stereotypes, rotten, feedback"
negative,noun,b2,a word or statement that means ‘no’; an act of refusing to do something or of denying something,"in the negative, She answered in the negative (= said ‘no’).","non, bad, dissentient, disadvantageous, dissident","positive, neutral, affirmative, confirming, electropositive","legate of, leggett of","connotation, connotations, stereotypes, rotten, feedback"
neighbour,noun,a1,a person who lives next to you or near you,We've had a lot of support from all our friends and neighbours.,"neighboring, neighbor, near, close, neighborhood",,"labor, labour, neighbor, belabor, sabre","thyself, neighbours, algorithm, mrs, friend"
neighbourhood,noun,b1,a district or an area of a town; the people who live there,We grew up in the same neighbourhood.,"neighborhood, locality, vicinity, convicinity, neighbouring",,,"initiating, patras, malm, quadrant, bounded"
neither,adverb,b1,used to show that a negative statement is also true of somebody/something else,He didn't remember and neither did I.,"non, none, never, not, still",,"either, breather, lither, teether, tither","nor, willing, anything, aware, any"
neither,determiner,a2,not one nor the other of two things or people,Neither answer is correct.,"non, none, never, not, still",,"either, breather, lither, teether, tither","nor, willing, anything, aware, any"
neither,pronoun,a2,not one nor the other of two things or people,Neither answer is correct.,"non, none, never, not, still",,"either, breather, lither, teether, tither","nor, willing, anything, aware, any"
nerve,noun,b2,"any of the long fibres that carry messages between the brain and parts of the body, enabling you to move, feel pain, etc.",the optic nerve,"heart, face, cheek, steel, spunk",,"curve, reserve, serve, preserve, observe","abducens, petrosal, peroneal, vagus, sciatic"
nervous,adjective,a2,anxious about something or afraid of something,I felt really nervous before the interview.,"neural, aflutter, jittery, jumpy, overstrung",,"service, disservice, purvis, lip service, civil service","cns, parasympathetic, breakdown, myelin, autonomic"
net,noun,b1,"material that is made of string, thread or wire twisted or tied together, with small spaces in between; a piece of this material used for a particular purpose",Unfortunately the animals are often caught in fishing nets.,"meshwork, mesh, network, sack, sack up",gross,"set, get, bet, offset, vet","exporter, importer, metering, neutrality, asp"
network,noun,a2,"a complicated system of roads, lines, tubes, nerves, etc. that are connected to each other and operate together",a rail/road/canal network,"meshwork, net, mesh, reticulation, web",,"work, jerk, framework, perk, clerk","affiliates, nodes, networks, node, syndicated"
never,adverb,a1,not at any time; not on any occasion,You never help me.,"not, nowhere, neither, impossible, only","ever, always","endeavor, however, endeavour, ever, clever","forget, recovered, divorced, anything, really"
nevertheless,adverb,b2,despite something that you have just mentioned,"There is little chance that we will succeed in changing the law. Nevertheless, it is important that we try.","nonetheless, notwithstanding, however, even so, withal",,"process, address, access, assess, press",
new,adjective,a1,"not existing before; recently made, invented, introduced, etc.",Have you read her new novel?,"newfound, fresh, freshly, newly, brand-new",old,"to, through, blue, into, do",
news,noun,a1,new information about something that has happened recently,What's the latest news?,"newsworthiness, word, intelligence, news program, news show",,"lose, choose, abuse, muse, recuse","newscast, anchor, anchors, cnn, bulletin"
newspaper,noun,a1,"a set of large printed sheets of paper, or a website, containing news, articles, advertisements, etc. and published every day or every week; the organization responsible for producing this",a daily/weekly newspaper,"newsprint, paper, newspaper publisher, reporting, journalism",,"paper, caper, taper, vapor, gaper","readership, tabloid, yearbook, circulation, columnist"
next,adjective,a1,"coming straight after somebody/something in time, order or space",The next train to Baltimore is at ten.,"adjacent, following, succeeding, side by side, incoming",,"complex, sex, vex, flex, x","clue, door, morning, generation, day"
next,adverb,a1,after something else; then; afterwards,What happened next?,"adjacent, following, succeeding, side by side, incoming",,"complex, sex, vex, flex, x","clue, door, morning, generation, day"
next,noun,b1,a person or thing that is next,"One moment he wasn't there, the next he was.","adjacent, following, succeeding, side by side, incoming",,"complex, sex, vex, flex, x","clue, door, morning, generation, day"
next to,preposition,a1,in or into a position right by somebody/something,We sat next to each other.,"near, well-nigh, nigh, close to, nearly",,,
nice,adjective,a1,pleasant or attractive,a nice day/smile/place,"pleasant, gracious, dainty, polite, fastidious","awful, nasty","ice, advice, piece, device, peace","guys, guy, marseille, savoy, monaco"
night,noun,a1,"the time between one day and the next when it is dark, when people usually sleep","at night, These animals only come out at night.","nighttime, nox, dark, sunset, dusk","day, daylight, daytime","light, bite, right, white, insight","conan, preceding, morning, sleep, lights"
nightmare,noun,b2,a dream that is very frightening or unpleasant,He still has nightmares about the accident.,"incubus, oneirodynia, horror, ordeal, misery",,"bear, care, air, flare, tear","elm, slasher, nightmares, scream, halloween"
nine,number,a1,9,There are only nine of these rare animals left.,"niner, ennead, club, cardinal, ix",,"line, design, sign, pine, fein","nails, inch, innings, months, eleven"
nineteen,number,a1,,,"cardinal, xix, 19th, brother, forty-ninth",,"mean, green, bean, machine, lean","orwell, quechua, eighty, eighteen, fourteen"
ninety,number,a1,90,The temperature must be in the nineties today.,"cardinal, xc, 145, 1990s, 90th",,"define t, design t, fine tea, gwine t, klein t","wuss, hereditary, peers, lords, percent"
no,determiner,a1,not one; not any; not a,No student is to leave the room.,"zero, nobelium, no more, nary, atomic number 102",yes,"go, blow, show, know, forego",
no,exclamation,a1,used to give a negative reply or statement,Just say yes or no.,"zero, nobelium, no more, nary, atomic number 102",yes,"go, blow, show, know, forego",
no one,pronoun,a1,not anyone; no person,No one was at home.,"anybody, anyone, everyone, individual, ingen",,,
nobody,pronoun,a1,not anyone; no person,Nobody knew what to say.,"nonentity, cypher, cipher, unknown, none",,"tree, be, sea, key, see","knows, dared, cares, else, somebody"
noise,noun,a2,"a sound, especially when it is loud, unpleasant or frightening",There was a rattling noise coming from the back of the car.,"make noise, disturbance, interference, resound, dissonance",,"poise, boys, illinois, toise, toys","abatement, vibration, pollution, distortion, amplifier"
noisy,adjective,a2,making a lot of noise,noisy children/traffic/crowds,"rackety, clamourous, clamorous, vociferous, strident",quiet,"boise, foisy, boys he, cowboys he, joys he","courting, pitta, prying, smashing, miner"
none,pronoun,a2,not one of a group of people or things; not any,None of these pens works/work.,"non-existent, nil, naught, neither, nobody",,"run, one, gun, fun, than","sixty, poverty, eighteen, survived, solid"
nor,adverb,b1,and not,She seemed neither surprised nor worried.,"conjunction, ag, either, also, yet",,"for, war, door, store, score","any, neither, shall, anything, anyone"
nor,conjunction,b1,and not,She seemed neither surprised nor worried.,"conjunction, ag, either, also, yet",,"for, war, door, store, score","any, neither, shall, anything, anyone"
normal,adjective,a2,"typical, usual or ordinary; what you would expect",quite/perfectly (= completely) normal,"typical, natural, mean, rule, modal","abnormal, paranormal, coinsure","formal, abnormal, paranormal, informal, mormal","subgroup, abnormal, faults, tissues, functioning"
normal,noun,b1,"the usual or average state, level or standard","above/below normal, The rainfall has been above normal for the time of year.","typical, natural, mean, rule, modal","abnormal, paranormal, coinsure","formal, abnormal, paranormal, informal, mormal","subgroup, abnormal, faults, tissues, functioning"
normally,adverb,a2,usually; in normal circumstances,I would never normally discuss this.,"commonly, usually, ordinarily, unremarkably, conventionally","unco, remarkably, unusually, outstandingly","formally, uniformly, abnormally, warmly, informally","aspirated, reserved, distributed"
north,adjective,a1,in or towards the north,North London,"magnetic north, northerly, union, northmost, northernmost",south,"forth, swarth, henceforth, fourth, orth","carolina, dakota, america, fork, korea"
north,adverb,a1,towards the north,The house faces north.,"magnetic north, northerly, union, northmost, northernmost",south,"forth, swarth, henceforth, fourth, orth","carolina, dakota, america, fork, korea"
north,noun,a1,the direction that is on your left when you watch the sun rise; one of the four main points of the compass,Which way is north?,"magnetic north, northerly, union, northmost, northernmost",south,"forth, swarth, henceforth, fourth, orth","carolina, dakota, america, fork, korea"
northern,adjective,b1,located in the north or facing north; connected with or typical of the north part of the world or a region,the northern slopes of the mountains,"boreal, septrional, yankee, federal, north",southern,,"hemisphere, mariana, ireland, terminus, belfast"
nose,noun,a1,"the part of the face that sticks out above the mouth, used for breathing and smelling things",She had dark eyes and a long narrow nose.,"olfactory organ, scent, poke, nuzzle, nozzle",,"rose, close, impose, expose, pose","nostrils, nasal, noses, throat, cheeks"
not,adverb,a1,"used with be, do or have to form the negative of verbs; used to form the negative of modal verbs like can or must",She did not/didn’t see him.,"renowned, known, famous, celebrated, famed",,"lot, shot, trot, spot, thought",
note,noun,a1,a short piece of writing to help you remember something,Please make a note of the dates.,"annotation, notation, mention, remark, notice",ignore,"boat, coat, promote, anecdote, float","pos, pitched, pts, pim, rbi"
note,verb,b1,to notice or pay careful attention to something,"note something, Note the fine early Baroque altar inside the chapel.","annotation, notation, mention, remark, notice",ignore,"boat, coat, promote, anecdote, float","pos, pitched, pts, pim, rbi"
nothing,pronoun,a1,not anything; no single thing,There was nothing in her bag.,"zilch, goose egg, naught, nix, nil",,"smithing, pithing, the thing, a thing","else, wrong, happens, happened, lose"
notice,noun,a2,"a sheet of paper giving written or printed information, usually put in a public place",There was a notice on the board saying the class had been cancelled.,"remark, observation, observe, observance, comment",ignore,"lotus, potus, scotus, flotus, notus","gazette, intent, termination, renewal, notices"
notice,verb,a2,to see or hear somebody/something; to become aware of somebody/something,People were making fun of him but he didn't seem to notice.,"remark, observation, observe, observance, comment",ignore,"lotus, potus, scotus, flotus, notus","gazette, intent, termination, renewal, notices"
notion,noun,b2,"an idea, a belief or an understanding of something","notion of something, a political system based on the notions of equality and liberty","belief, feeling, whim, whimsey, whimsy",,"motion, ocean, emotion, commotion, promotion","notions, algebraic, manifold, generalized, algebra"
novel,noun,a2,"a story long enough to fill a complete book, in which the characters and events are usually imaginary",to write/publish/read a novel,"fresh, new, original, refreshing, novelty",,"grovel, wavell, novelle, saville, covell","shortlisted, bestseller, trilogy, paperback, protagonist"
November,noun,a1,"the 11th month of the year, between October and December",She was born in November.,"nov, october, december, april, july",,"member, remember, ember, september, december","politician, footballer, incumbent, december"
now,adverb,a1,(at) the present time,Where are you living now?,"nowadays, at once, instantly, immediately, right away",,"sow, bow, cow, allow, how","defunct, statistical, known"
now,conjunction,b1,because the thing mentioned is happening or has just happened,Now that the kids have left home we've got a lot of extra space.,"nowadays, at once, instantly, immediately, right away",,"sow, bow, cow, allow, how","defunct, statistical, known"
nowhere,adverb,a2,not in or to any place,"I had nowhere to live, so I was sleeping on my sister's couch.","never-never, never, null, not, nothing",,"bear, care, air, flare, tear","else, hide, dense, sight, evident"
nuclear,adjective,b1,"using, producing or resulting from nuclear energy",a nuclear power plant/station,"atomic, thermonuclear, central, nuclide, atom",conventional,"thermonuclear, mononuclear, nuclear er","disarmament, fission, reactor, deterrence, iaea"
number,noun,a1,a word or symbol that represents an amount or a quantity,Think of a number and multiply it by two.,"enumerate, count, total, add up, numeral",,"lumber, umber, slumber, encumber, cumber","chart, billboard, charts, hot, singles"
number,verb,a2,to give a number to something as part of a series or list,"number something, All the seats in the stadium are numbered.","enumerate, count, total, add up, numeral",,"lumber, umber, slumber, encumber, cumber","chart, billboard, charts, hot, singles"
numerous,adjective,b2,existing in large numbers ,He has been late on numerous occasions.,"many, countless, innumerable, varied, diverse",,"humorous, humerus, humourous, tumorous, rumorous","occasions, articles, journals, awards, publications"
nurse,noun,a1,"a person whose job is to take care of sick or injured people, usually in a hospital",a registered nurse,"wet-nurse, nanny, nursemaid, entertain, hold",bottlefeed,"reverse, averse, adverse, traverse, terse","anesthetist, midwife, matron, practitioner, nurses"
nut,noun,a2,a small hard fruit with a very hard shell that grows on some trees,to crack a nut (= open it),"fruitcake, egg, ballock, gonad, testicle",,"cut, that, but, what, butt","areca, betel, macadamia, staves, fastener"
o'clock,adverb,a1,"used with the numbers 1 to 12 when telling the time, to mean an exact hour",He left between five and six o'clock.,"time, hour, alarm, atomic, back",,,
obey,verb,b2,to do what you are told or expected to do,"obey something, to obey a command/an order/rules/the law","obedience, comply, behave, fulfill, conform",disobey,"day, away, way, lay, play","commutation, dirac, fermi, pauli, summons"
object,noun,a1,"a thing that can be seen and touched, but is not alive",everyday objects such as cups and saucers,"objective, aim, target, physical object, item",,"effect, affect, respect, project, subject","transitive, verb, pronoun, objects, verbs"
object,verb,b2,to say that you disagree with or oppose something,"If nobody objects, we'll postpone the meeting till next week.","objective, aim, target, physical object, item",,"effect, affect, respect, project, subject","transitive, verb, pronoun, objects, verbs"
objective,adjective,b2,not influenced by personal feelings or opinions; considering only facts,an objective assessment of the situation,"object, concrete, representational, verifiable, accusative",subjective,"perspective, effective, prospective, subjective, respective","subjective, lens, objectives, capturing, criteria"
objective,noun,b2,something that you are trying to achieve,the primary/principal/key objective,"object, concrete, representational, verifiable, accusative",subjective,"perspective, effective, prospective, subjective, respective","subjective, lens, objectives, capturing, criteria"
obligation,noun,b2,"the state of being forced to do something because it is your duty, or because of a law, etc.","obligation to do something, You are under no obligation to buy anything.","duty, responsibility, binding, duty-bound, devoir",,"communication, information, operation, education, implication","repay, obligations, obey, fulfilled, bonds"
observation,noun,b2,"the act of watching somebody/something carefully for a period of time, especially to learn something",Most information was collected by direct observation of the animals' behaviour.,"notice, remark, observance, watching, reflexion",,"communication, information, operation, education, implication","deck, balloon, arc, asteroid, observations"
observe,verb,b2,to see or notice somebody/something,"observe somebody/something, Have you observed any changes lately?","notice, take note, remark, mention, keep an eye on",disrespect,"nerve, curve, reserve, serve, preserve","dst, toes, uneven, mourning, sabbath"
obtain,verb,b2,"to get something, especially by making an effort",to obtain information/data/results,"get, receive, prevail, find, hold",,"vein, train, plane, fein, strain","visa, permit, passport, permission, license"
obvious,adjective,b1,easy to see or understand,I know you don't like her but try not to make it so obvious.,"self-explanatory, evident, self-evident, overt, axiomatic","invisible, inconspicuous, unobvious",,"similarities, choice, advantages, difference, reasons"
obviously,adverb,b1,used when giving information that you expect other people to know already or agree with,"Obviously, we don't want to spend too much money.","manifestly, patently, evidently, apparently, plainly",,,"disappointed, wrong, false, really, think"
occasion,noun,b1,a particular time when something happens,"on an occasion, on this/that occasion","affair, juncture, social occasion, event, incident",,"equation, caucasian, abrasion, asian, persuasion","stamp, anniversary, centenary, birthday, stamps"
occasionally,adverb,b2,sometimes but not often,We occasionally meet for a drink after work.,"once in a while, now and then, now and again, at times, from time to time",,occasional e,"aquarium, prey, rarely, eggs, eat"
occur,verb,b1,to happen,When exactly did the incident occur?,"take place, happen, hap, come about, go on",,"defer, confer, infer, entrepreneur, concur","passerine, naturally, birds, slender, symptoms"
ocean,noun,a2,the mass of salt water that covers most of the earth’s surface,The ship was dredged from the depths of the ocean.,"sea, expanse, oceanic, seabed, seafloor",,"motion, notion, emotion, commotion, promotion","acidification, meridian, tsunami, depths, currents"
October,noun,a1,"the 10th month of the year, between September and November",She was born in October.,"oct, november, december, april, july",,"sober, lobar, ober, prober, kober","politician, footballer, november"
odd,adjective,b1,strange or unusual,They're very odd people.,"unusual, strange, peculiar, inexact, mismatched",even,"god, rod, facade, pod, fraud","fellows, parity, permutation, harmonics, jobs"
of,preposition,a1,belonging to somebody; relating to somebody,a friend of mine,"bsf, fos, fso, office, osb",,"love, above, dove, shove, glove",
off,adverb,a1,used to say that something has been removed or become separated,He's had his beard shaved off.,"away, cancelled, forth, inactive, disconnected",on,"trough, scoff, cough, cutoff, loffe","bench, coast, balls, cliff"
off,preposition,a1,down or away from a place or at a distance in space or time,I fell off the ladder.,"away, cancelled, forth, inactive, disconnected",on,"trough, scoff, cough, cutoff, loffe","bench, coast, balls, cliff"
offence,noun,b2,an illegal act ,a criminal/serious/minor/sexual offence,"misdemeanor, infraction, infringement, violation, offense",,rough fence,"triable, indictable, mens, liable, imprisonment"
offend,verb,b2,to make somebody feel upset because of something you say or do that is rude or embarrassing,They'll be offended if you don't go to their wedding.,"outrage, spite, pique, scandalize, appall",,"end, bend, friend, lend, attend","sensibilities, yeah, humiliate, decency, offending"
offensive,adjective,b2,rude in a way that causes somebody to feel upset or annoyed because it shows a lack of respect,offensive remarks,"outrageous, insulting, abusive, obnoxious, scornful","savory, defensive, savoury, euphemistic, inoffensive","comprehensive, extensive, apprehensive, pensive, intensive","lineman, linemen, coordinator, tackle, somme"
offer,noun,a2,an act of saying that you are willing to do something for somebody or give something to somebody,to receive a job offer,"proffer, offer up, propose, provide, volunteer",,"doffer, proffer, coffer, scoffer, counteroffer","prayers, advantages, courses, diploma, degrees"
offer,verb,a2,to say that you are willing to give something to somebody,"offer (something), Josie had offered her services as a guide.","proffer, offer up, propose, provide, volunteer",,"doffer, proffer, coffer, scoffer, counteroffer","prayers, advantages, courses, diploma, degrees"
office,noun,a1,"a room, set of rooms or building where people work, usually sitting at desks",The company is moving to new offices on the other side of town.,"authority, bureau, agency, function, position",,"interoffice, tophus, off us","zip, postmaster, discontinued, postal, clerk"
officer,noun,a2,a person who is in a position of authority in the armed forces,army/military/naval officers,"police officer, policeman, officeholder, military officer, captain",,"office her, office sir","commanding, obe, cadet, commandant, warrant"
official,adjective,b1,"agreed to, said, done, etc. by somebody who is in a position of authority",an official announcement/decision/statement,"ex officio, functionary, authoritative, formal, authorized",unofficial,"beneficial, superficial, initial, artificial, judicial","website, youtube, unofficial, mascot, facebook"
official,noun,b2,a person who is in a position of authority in a large organization,She is the government official in charge of the project.,"ex officio, functionary, authoritative, formal, authorized",unofficial,"beneficial, superficial, initial, artificial, judicial","website, youtube, unofficial, mascot, facebook"
often,adverb,a1,many times,We often go there.,"ofttimes, oft, oftentimes, frequently, much","seldom, rarely, infrequently","boffin, soften, coffin, goffin, offen","abbreviated, referred, confused, cited, depicted"
oh,exclamation,a1,"used when you are reacting to something that has been said, especially if you did not know it before","‘I saw Ben yesterday.’ ‘Oh yes, how is he?’","gua, aaf, faa, cbl, boc",,"go, blow, show, know, forego",
oil,noun,a2,a thick liquid that is found in rock underground ,Several companies are drilling for oil in the region.,"lubricate, lube, anele, anoint, oil color",,"foil, spoil, soil, turmoil, coil","spill, refinery, shale, rigs, refining"
OK,adjective,a1,safe and well; in a calm or happy state,Are you OK?,"approve, sanction, satisfactory, alright, all right","reject, disapprove","day, away, way, lay, play",
OK,adverb,a1,safe and well; in a calm or happy state,Are you OK?,"approve, sanction, satisfactory, alright, all right","reject, disapprove","day, away, way, lay, play",
OK,exclamation,a1,yes; all right,‘Shall we go for a walk?’ ‘OK.’,"approve, sanction, satisfactory, alright, all right","reject, disapprove","day, away, way, lay, play",
old,adjective,a1,of a particular age,"be… years, months, etc. old, The baby was only a few hours old.","oldish, elderly, aged, senile, senior","new, young, immature","hold, gold, threshold, cold, mold","norse, testament, vic, dominion, demolished"
old-fashioned,adjective,b1,not modern; no longer fashionable,old-fashioned clothes/styles/methods/equipment,"nonmodern, antique, outmoded, unfashionable, unstylish",,,
on,adverb,a1,on somebody’s body; being worn,Put your coat on.,"bps, add, nso, our, bsi","off, cancelled","upon, phenomenon, liaison, con, john",
on,preposition,a1,"in or into a position covering, touching or forming part of a surface",a picture on a wall,"bps, add, nso, our, bsi","off, cancelled","upon, phenomenon, liaison, con, john",
once,adverb,a1,on one occasion only; one time,I've only been there once.,"onetime, sometime, when, erstwhile, past",,"dunce, bunce, duncedom, munce, dvinsk","again, stood"
once,conjunction,b1,as soon as; when,We didn't know how we would cope once the money had gone.,"onetime, sometime, when, erstwhile, past",,"dunce, bunce, duncedom, munce, dvinsk","again, stood"
one,determiner,a1,the number 1,Do you want one or two?,"i, combined, united, same, unity",,"run, gun, fun, than, sun",
one,number,a1,the number 1,Do you want one or two?,"i, combined, united, same, unity",,"run, gun, fun, than, sun",
one,pronoun,a1,"used to avoid repeating a noun, when you are referring to somebody/something that has already been mentioned, or that the person you are speaking to knows about","I'd like an ice cream. Are you having one, too?","i, combined, united, same, unity",,"run, gun, fun, than, sun",
onion,noun,a1,"a round vegetable with many layers inside each other and a brown, red or white skin. Onions have a strong smell and taste.",Chop the onions finely.,"allium cepa, onion plant, cream, business, garlic",,"bunion, bunyan, grunion, inion, runyon","shallot, allium, scallion, cilantro, garlic"
online,adjective,a1,available on or done using the internet or other computer network,Online shopping is both cheap and convenient.,"electronically, electronics, electronic, electron, screen",,"line, design, sign, pine, fein","offline, retailer, streaming, forums, poker"
online,adverb,a1,onto the internet; using the internet or other computer network,Many children would rather go online than watch television.,"electronically, electronics, electronic, electron, screen",,"line, design, sign, pine, fein","offline, retailer, streaming, forums, poker"
only,adjective,a1,used to say that no other or others of the same group exist or are there,She's their only daughter.,"alone, solely, lone, single, lonesome",,"lonely, pronely, onely, conely, joan lee",
only,adverb,a1,nobody or nothing except,There are only a limited number of tickets available.,"alone, solely, lone, single, lonesome",,"lonely, pronely, onely, conely, joan lee",
onto,preposition,a2,used with verbs to express movement on or to a particular place or position,Move the books onto the second shelf.,"preposition, for, south, with, into",,"on to, want to, onto-, abidjan to, agamemnon to","youtube, alignment, canvas, freeway, bypass"
open,adjective,a1,allowing things or people to go through; not closed or blocked ,A wasp flew in the open window.,"open up, available, visible, afford, public","close, fold, covert, shut, closed","reopen, wopen, propugn, copen, rope in","wimbledon, pga, slam, atp, cockpit"
open,verb,a1,"to move a door, window, lid, etc. into a position that is no longer closed; to get into this position",Mr Chen opened the car door for his wife.,"open up, available, visible, afford, public","close, fold, covert, shut, closed","reopen, wopen, propugn, copen, rope in","wimbledon, pga, slam, atp, cockpit"
opening,noun,b2,a space or hole that somebody/something can pass through,We could see the stars through an opening in the roof.,"starting, beginning, initiative, initiatory, inaugural","closing, shutting","reopening, open ing","weekend, kickoff, closing, ceremony, theme"
operate,verb,b2,to work in a particular way,Most domestic freezers operate at below −18°C.,"function, control, work, engage, maneuver","withdraw, malfunction, disengage, misfunction","state, rate, date, plate, advocate","fitted, torpedo, bow, independently, routes"
operation,noun,b1,the process of cutting open a part of a person’s body in order to remove or repair a damaged part,Will I need to have an operation?,"functioning, procedure, process, performance, surgical procedure",,"communication, information, education, implication, station","barbarossa, overlord, enduring, iraqi, torch"
opinion,noun,a1,"your feelings or thoughts about somebody/something, rather than a fact",He has very strong political opinions.,"popular opinion, thought, public opinion, vox populi, ruling",,"minion, dominion, pinion, binion, pinyan","concurring, polls, polling, dissenting, poll"
opponent,noun,b2,"a person that you are playing or fighting against in a game, competition, argument, etc.",a political opponent,"adversary, antagonist, opposition, foeman, enemy",,"component, proponent, exponent, conant, ponent","wrestler, mat, attacker, bout, backwards"
opportunity,noun,a2,a time when a particular situation makes it possible to do or achieve something,Don't miss this opportunity!,"chance, occasion, opening, access, availability",,"community, impunity, unity, immunity, munity","arose, learn, explore, participate, earn"
oppose,verb,b2,"to disagree strongly with somebody’s plan, policy, etc. and try to change it or prevent it from succeeding","oppose somebody/something, This party would bitterly oppose the re-introduction of the death penalty.","contradict, controvert, fight back, fight down, fight",,"rose, close, nose, impose, expose","abortion, proposition, slavery, poll, policies"
opposed,adjective,b2,disagreeing strongly with something and trying to stop it,"opposed to something, He was strongly opposed to modernism in art.","conflicting, anti, at odds, oppositional, opposition",unopposed,"composed, disposed, supposed, exposed, enclosed","abortion, arguing, platforms, slavery, advocated"
opposite,adjective,a1,on the other side of a particular area from somebody/something and usually facing them,Answers are given on the opposite page.,"diametric, antonym, contrary, opposition, different",alternate,,"directions, direction, sides, sex, side"
opposite,adverb,a1,on the other side of a particular area from somebody/something and usually facing them,There's a newly married couple living opposite (= on the other side of the road).,"diametric, antonym, contrary, opposition, different",alternate,,"directions, direction, sides, sex, side"
opposite,noun,a1,a person or thing that is as different as possible from somebody/something else,Hot and cold are opposites.,"diametric, antonym, contrary, opposition, different",alternate,,"directions, direction, sides, sex, side"
opposite,preposition,a1,"on the other side of a particular area from somebody/something, and usually facing them",I sat opposite him during the meal (= on the other side of the table).,"diametric, antonym, contrary, opposition, different",alternate,,"directions, direction, sides, sex, side"
opposition,noun,b2,"the act of strongly disagreeing with somebody/something, especially with the aim of preventing something from happening",Opposition came primarily from students.,"oppositeness, opposite, opponent, resistance, foeman",,"disposition, commission, condition, position, transition","parties, whip, mps, bloc, coalition"
option,noun,a2,something that you can choose to have or do; the freedom to choose what you do,"As I see it, we have two options…","choice, alternative, choosing, choose, opt",,adoption,"exercised, pension, exceeded, exceed, index"
or,conjunction,a1,used to introduce another possibility,Is your sister older or younger than you?,"gold, ria, sabs, retirement, sor",,"for, war, door, store, score",
orange,adjective,a1,between red and yellow in colour,yellow and orange flames,"orangeness, orangish, colored, chromatic, orange tree",,door hinge,"juice, blossom, citrus, lemon, bowl"
orange,noun,a1,a round citrus fruit with thick skin of a colour between red and yellow and a lot of sweet juice,orange peel/zest/rind,"orangeness, orangish, colored, chromatic, orange tree",,door hinge,"juice, blossom, citrus, lemon, bowl"
order,noun,a1,the way in which people or things are placed or arranged in relation to each other,"in… order, The names are listed in alphabetical order.","arrange, orderliness, put, set up, rate","disorder, disarray, deregulate, disorderliness","disorder, border, recorder, boarder, warder","passerine, precedence, merit, honours, birds"
order,verb,a1,"to ask for something to eat or drink in a restaurant, bar, etc.","order (something), I ordered a coffee and a sandwich.","arrange, orderliness, put, set up, rate","disorder, disarray, deregulate, disorderliness","disorder, border, recorder, boarder, warder","passerine, precedence, merit, honours, birds"
ordinary,adjective,a2,not unusual or different in any way,an ordinary sort of day,"common, mundane, routine, workaday, everyday",extraordinary,"dictionary, cherry, arbitrary, contemporary, ancillary","seaman, differential, extraordinary, squares, equation"
organ,noun,b2,"a part of the body that has a particular purpose, such as the heart or the brain; part of a plant with a particular purpose",the internal organs,"electric organ, hammond organ, reed organ, pipe organ, electronic organ",,"morgan, gorgon, morgen, borgen, henry morgan","transplantation, organist, harpsichord, transplant, organs"
